date,time,temperature (F),Relative humidity,Wind speed (MPH),Wind gust speed (MPH)
6/17/2024,0:07:00,71,54,3,6
6/17/2024,0:18:00,71,54,3,5
6/17/2024,0:28:00,71,55,2,4
6/17/2024,0:38:00,71,55,3,4
6/17/2024,0:48:00,70,57,3,5
6/17/2024,0:58:00,70,57,2,5
6/17/2024,1:09:00,69,58,2,5
6/17/2024,1:19:00,69,59,1,3
6/17/2024,1:29:00,69,59,1,3
6/17/2024,1:39:00,69,60,0,3
6/17/2024,1:49:00,68,61,0,5
6/17/2024,2:00:00,67,63,2,4
6/17/2024,2:10:00,67,64,2,5
6/17/2024,2:20:00,65,68,3,5
6/17/2024,2:30:00,65,68,1,5
6/17/2024,2:40:00,65,70,1,3
6/17/2024,2:51:00,64,71,3,4
6/17/2024,3:01:00,64,72,3,4
6/17/2024,3:11:00,64,72,0,3
6/17/2024,3:21:00,64,71,0,0
6/17/2024,3:31:00,64,72,2,0
6/17/2024,3:42:00,63,73,1,3
6/17/2024,3:52:00,64,72,0,0
6/17/2024,4:02:00,62,75,2,4
6/17/2024,4:12:00,63,74,2,4
6/17/2024,4:22:00,62,76,2,4
6/17/2024,4:33:00,62,77,1,4
6/17/2024,4:53:00,62,78,2,4
6/17/2024,5:03:00,62,78,3,6
6/17/2024,5:13:00,62,77,3,6
6/17/2024,5:24:00,61,77,4,7
6/17/2024,5:34:00,61,77,4,9
6/17/2024,5:44:00,62,76,4,7
6/17/2024,5:54:00,62,76,4,11
6/17/2024,6:04:00,62,75,4,8
6/17/2024,6:15:00,63,74,5,10
6/17/2024,6:25:00,63,73,5,9
6/17/2024,6:35:00,63,72,4,9
6/17/2024,6:45:00,63,72,5,11
6/17/2024,6:55:00,63,72,4,9
6/17/2024,7:06:00,63,74,7,12
6/17/2024,7:16:00,62,76,7,12
6/17/2024,7:26:00,62,75,6,13
6/17/2024,7:36:00,62,74,5,9
6/17/2024,7:46:00,63,75,4,10
6/17/2024,7:57:00,62,76,3,10
6/17/2024,8:07:00,63,73,4,8
6/17/2024,8:17:00,63,74,2,7
6/17/2024,8:27:00,63,75,4,9
6/17/2024,8:37:00,64,73,4,8
