Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3894477,-,b'Georgia',b'United States',33.8,-84.39,-5,275,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,Temperature
2022,1,1,0,0,0,17.7
2022,1,1,0,10,0,17.8
2022,1,1,0,20,0,17.8
2022,1,1,0,30,0,17.900000000000002
2022,1,1,0,40,0,17.900000000000002
2022,1,1,0,50,0,18
2022,1,1,1,0,0,18
2022,1,1,1,10,0,18.1
2022,1,1,1,20,0,18.1
2022,1,1,1,30,0,18.2
2022,1,1,1,40,0,18.2
2022,1,1,1,50,0,18.2
2022,1,1,2,0,0,18.3
2022,1,1,2,10,0,18.3
2022,1,1,2,20,0,18.3
2022,1,1,2,30,0,18.3
2022,1,1,2,40,0,18.400000000000002
2022,1,1,2,50,0,18.400000000000002
2022,1,1,3,0,0,18.400000000000002
2022,1,1,3,10,0,18.400000000000002
2022,1,1,3,20,0,18.400000000000002
2022,1,1,3,30,0,18.5
2022,1,1,3,40,0,18.5
2022,1,1,3,50,0,18.5
2022,1,1,4,0,0,18.5
2022,1,1,4,10,0,18.5
2022,1,1,4,20,0,18.6
2022,1,1,4,30,0,18.6
2022,1,1,4,40,0,18.6
2022,1,1,4,50,0,18.6
2022,1,1,5,0,0,18.6
2022,1,1,5,10,0,18.6
2022,1,1,5,20,0,18.6
2022,1,1,5,30,0,18.6
2022,1,1,5,40,0,18.6
2022,1,1,5,50,0,18.6
2022,1,1,6,0,0,18.6
2022,1,1,6,10,0,18.6
2022,1,1,6,20,0,18.7
2022,1,1,6,30,0,18.7
2022,1,1,6,40,0,18.7
2022,1,1,6,50,0,18.7
2022,1,1,7,0,0,18.7
2022,1,1,7,10,0,18.8
2022,1,1,7,20,0,18.900000000000002
2022,1,1,7,30,0,19
2022,1,1,7,40,0,19.200000000000003
2022,1,1,7,50,0,19.3
2022,1,1,8,0,231,19.400000000000002
2022,1,1,8,10,329,19.6
2022,1,1,8,20,407,19.8
2022,1,1,8,30,474,20
2022,1,1,8,40,543,20.200000000000003
2022,1,1,8,50,589,20.400000000000002
2022,1,1,9,0,190,20.6
2022,1,1,9,10,661,20.8
2022,1,1,9,20,690,21
2022,1,1,9,30,716,21.200000000000003
2022,1,1,9,40,104,21.5
2022,1,1,9,50,242,21.700000000000003
2022,1,1,10,0,85,21.900000000000002
2022,1,1,10,10,108,22.1
2022,1,1,10,20,810,22.3
2022,1,1,10,30,27,22.400000000000002
2022,1,1,10,40,20,22.6
2022,1,1,10,50,2,22.8
2022,1,1,11,0,0,23
2022,1,1,11,10,0,23.1
2022,1,1,11,20,0,23.3
2022,1,1,11,30,0,23.400000000000002
2022,1,1,11,40,0,23.5
2022,1,1,11,50,1,23.700000000000003
2022,1,1,12,0,0,23.8
2022,1,1,12,10,0,23.8
2022,1,1,12,20,0,23.900000000000002
2022,1,1,12,30,0,23.900000000000002
2022,1,1,12,40,1,24
2022,1,1,12,50,0,24
