Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1947888,-,b'Colorado',b'United States',39.74,-105.03,-7,1612,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,Temperature
2022,1,1,0,0,0,-8.4
2022,1,1,0,10,0,-8.4
2022,1,1,0,20,0,-8.5
2022,1,1,0,30,0,-8.6
2022,1,1,0,40,0,-8.700000000000001
2022,1,1,0,50,0,-8.700000000000001
2022,1,1,1,0,0,-8.8
2022,1,1,1,10,0,-8.9
2022,1,1,1,20,0,-9
2022,1,1,1,30,0,-9.1
2022,1,1,1,40,0,-9.1
2022,1,1,1,50,0,-9.200000000000001
2022,1,1,2,0,0,-9.3
2022,1,1,2,10,0,-9.4
2022,1,1,2,20,0,-9.5
2022,1,1,2,30,0,-9.600000000000001
2022,1,1,2,40,0,-9.600000000000001
2022,1,1,2,50,0,-9.700000000000001
2022,1,1,3,0,0,-9.8
2022,1,1,3,10,0,-9.9
2022,1,1,3,20,0,-10
2022,1,1,3,30,0,-10.100000000000001
2022,1,1,3,40,0,-10.200000000000001
2022,1,1,3,50,0,-10.3
2022,1,1,4,0,0,-10.4
2022,1,1,4,10,0,-10.5
2022,1,1,4,20,0,-10.600000000000001
2022,1,1,4,30,0,-10.700000000000001
2022,1,1,4,40,0,-10.8
2022,1,1,4,50,0,-10.9
2022,1,1,5,0,0,-11
2022,1,1,5,10,0,-11.100000000000001
2022,1,1,5,20,0,-11.200000000000001
2022,1,1,5,30,0,-11.3
2022,1,1,5,40,0,-11.4
2022,1,1,5,50,0,-11.4
2022,1,1,6,0,0,-11.5
2022,1,1,6,10,0,-11.600000000000001
2022,1,1,6,20,0,-11.600000000000001
2022,1,1,6,30,0,-11.700000000000001
2022,1,1,6,40,0,-11.8
2022,1,1,6,50,0,-11.8
2022,1,1,7,0,0,-11.9
2022,1,1,7,10,0,-11.8
2022,1,1,7,20,0,-11.700000000000001
2022,1,1,7,30,0,-11.700000000000001
2022,1,1,7,40,0,-11.600000000000001
2022,1,1,7,50,0,-11.5
2022,1,1,8,0,0,-11.4
2022,1,1,8,10,1,-11.3
2022,1,1,8,20,10,-11.200000000000001
2022,1,1,8,30,0,-11.100000000000001
2022,1,1,8,40,0,-11
2022,1,1,8,50,0,-10.9
2022,1,1,9,0,0,-10.8
2022,1,1,9,10,21,-10.700000000000001
2022,1,1,9,20,4,-10.600000000000001
2022,1,1,9,30,3,-10.600000000000001
2022,1,1,9,40,0,-10.5
2022,1,1,9,50,0,-10.5
2022,1,1,10,0,0,-10.4
2022,1,1,10,10,4,-10.3
2022,1,1,10,20,4,-10.3
2022,1,1,10,30,0,-10.200000000000001
2022,1,1,10,40,2,-10.100000000000001
2022,1,1,10,50,6,-10.100000000000001
2022,1,1,11,0,12,-10
2022,1,1,11,10,12,-9.9
2022,1,1,11,20,20,-9.8
2022,1,1,11,30,21,-9.700000000000001
2022,1,1,11,40,15,-9.600000000000001
2022,1,1,11,50,19,-9.600000000000001
2022,1,1,12,0,23,-9.5
2022,1,1,12,10,15,-9.4
2022,1,1,12,20,36,-9.3
2022,1,1,12,30,33,-9.200000000000001
2022,1,1,12,40,34,-9.1
2022,1,1,12,50,47,-9
2022,1,1,13,0,55,-8.9
2022,1,1,13,10,62,-8.8
2022,1,1,13,20,24,-8.8
2022,1,1,13,30,7,-8.700000000000001
2022,1,1,13,40,17,-8.6
2022,1,1,13,50,30,-8.5
2022,1,1,14,0,23,-8.5
2022,1,1,14,10,36,-8.5
2022,1,1,14,20,42,-8.4
2022,1,1,14,30,12,-8.4
2022,1,1,14,40,9,-8.4
2022,1,1,14,50,11,-8.4
2022,1,1,15,0,36,-8.3
2022,1,1,15,10,10,-8.6
2022,1,1,15,20,2,-8.8
2022,1,1,15,30,723,-9
2022,1,1,15,40,718,-9.3
2022,1,1,15,50,101,-9.5
2022,1,1,16,0,616,-9.700000000000001
2022,1,1,16,10,549,-10
2022,1,1,16,20,464,-10.3
2022,1,1,16,30,359,-10.600000000000001
2022,1,1,16,40,0,-10.9
2022,1,1,16,50,0,-11.200000000000001
2022,1,1,17,0,0,-11.600000000000001
2022,1,1,17,10,0,-11.9
2022,1,1,17,20,0,-12.3
2022,1,1,17,30,0,-12.600000000000001
2022,1,1,17,40,0,-13
2022,1,1,17,50,0,-13.3
2022,1,1,18,0,0,-13.700000000000001
2022,1,1,18,10,0,-13.9
2022,1,1,18,20,0,-14.100000000000001
2022,1,1,18,30,0,-14.3
2022,1,1,18,40,0,-14.4
2022,1,1,18,50,0,-14.600000000000001
2022,1,1,19,0,0,-14.8
2022,1,1,19,10,0,-14.8
2022,1,1,19,20,0,-14.8
2022,1,1,19,30,0,-14.700000000000001
2022,1,1,19,40,0,-14.700000000000001
2022,1,1,19,50,0,-14.600000000000001
2022,1,1,20,0,0,-14.600000000000001
2022,1,1,20,10,0,-14.5
2022,1,1,20,20,0,-14.4
2022,1,1,20,30,0,-14.3
2022,1,1,20,40,0,-14.200000000000001
2022,1,1,20,50,0,-14.100000000000001
2022,1,1,21,0,0,-14
2022,1,1,21,10,0,-13.9
2022,1,1,21,20,0,-13.8
2022,1,1,21,30,0,-13.700000000000001
2022,1,1,21,40,0,-13.5
2022,1,1,21,50,0,-13.4
2022,1,1,22,0,0,-13.3
2022,1,1,22,10,0,-13.200000000000001
