Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1309015,-,b'Arizona',b'United States',33.44,-112.05,-7,332,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,Temperature
2022,1,1,0,0,0,11.200000000000001
2022,1,1,0,10,0,11
2022,1,1,0,20,0,10.9
2022,1,1,0,30,0,10.8
2022,1,1,0,40,0,10.700000000000001
2022,1,1,0,50,0,10.5
2022,1,1,1,0,0,10.4
2022,1,1,1,10,0,10.3
2022,1,1,1,20,0,10.100000000000001
2022,1,1,1,30,0,10
2022,1,1,1,40,0,9.9
2022,1,1,1,50,0,9.700000000000001
2022,1,1,2,0,0,9.600000000000001
2022,1,1,2,10,0,9.5
2022,1,1,2,20,0,9.3
2022,1,1,2,30,0,9.200000000000001
2022,1,1,2,40,0,9.1
2022,1,1,2,50,0,9
2022,1,1,3,0,0,8.9
2022,1,1,3,10,0,8.8
2022,1,1,3,20,0,8.700000000000001
2022,1,1,3,30,0,8.6
2022,1,1,3,40,0,8.5
2022,1,1,3,50,0,8.4
2022,1,1,4,0,0,8.3
2022,1,1,4,10,0,8.200000000000001
2022,1,1,4,20,0,8.1
2022,1,1,4,30,0,8
2022,1,1,4,40,0,7.9
2022,1,1,4,50,0,7.800000000000001
2022,1,1,5,0,0,7.7
2022,1,1,5,10,0,7.6000000000000005
2022,1,1,5,20,0,7.5
2022,1,1,5,30,0,7.4
2022,1,1,5,40,0,7.300000000000001
2022,1,1,5,50,0,7.2
2022,1,1,6,0,0,7.1000000000000005
2022,1,1,6,10,0,6.9
2022,1,1,6,20,0,6.7
2022,1,1,6,30,0,6.5
2022,1,1,6,40,0,6.4
2022,1,1,6,50,0,6.2
2022,1,1,7,0,0,6
2022,1,1,7,10,0,6.1000000000000005
2022,1,1,7,20,0,6.300000000000001
2022,1,1,7,30,0,6.4
2022,1,1,7,40,0,6.6000000000000005
2022,1,1,7,50,256,6.7
2022,1,1,8,0,365,6.800000000000001
2022,1,1,8,10,462,7.1000000000000005
2022,1,1,8,20,534,7.4
2022,1,1,8,30,594,7.6000000000000005
2022,1,1,8,40,673,7.9
2022,1,1,8,50,714,8.200000000000001
2022,1,1,9,0,748,8.4
2022,1,1,9,10,778,8.8
2022,1,1,9,20,803,9.200000000000001
2022,1,1,9,30,826,9.600000000000001
2022,1,1,9,40,856,9.9
2022,1,1,9,50,872,10.3
2022,1,1,10,0,887,10.700000000000001
2022,1,1,10,10,900,10.9
2022,1,1,10,20,912,11.100000000000001
2022,1,1,10,30,922,11.4
2022,1,1,10,40,925,11.600000000000001
2022,1,1,10,50,933,11.8
2022,1,1,11,0,940,12.100000000000001
2022,1,1,11,10,947,12.200000000000001
2022,1,1,11,20,952,12.3
2022,1,1,11,30,957,12.4
2022,1,1,11,40,962,12.600000000000001
2022,1,1,11,50,965,12.700000000000001
2022,1,1,12,0,968,12.8
2022,1,1,12,10,970,12.9
2022,1,1,12,20,971,12.9
2022,1,1,12,30,971,13
2022,1,1,12,40,975,13.100000000000001
2022,1,1,12,50,974,13.200000000000001
2022,1,1,13,0,973,13.200000000000001
2022,1,1,13,10,971,13.3
2022,1,1,13,20,968,13.3
2022,1,1,13,30,974,13.3
2022,1,1,13,40,970,13.3
2022,1,1,13,50,965,13.3
2022,1,1,14,0,959,13.3
2022,1,1,14,10,952,13.3
2022,1,1,14,20,945,13.200000000000001
2022,1,1,14,30,936,13.100000000000001
2022,1,1,14,40,933,13.100000000000001
2022,1,1,14,50,922,13
2022,1,1,15,0,910,12.9
2022,1,1,15,10,908,12.600000000000001
2022,1,1,15,20,892,12.3
2022,1,1,15,30,875,12
2022,1,1,15,40,860,11.700000000000001
2022,1,1,15,50,837,11.4
2022,1,1,16,0,811,11.100000000000001
2022,1,1,16,10,780,10.4
2022,1,1,16,20,745,9.8
2022,1,1,16,30,702,9.1
2022,1,1,16,40,657,8.4
2022,1,1,16,50,595,7.800000000000001
2022,1,1,17,0,520,7.1000000000000005
2022,1,1,17,10,424,6.9
2022,1,1,17,20,299,6.800000000000001
2022,1,1,17,30,0,6.6000000000000005
2022,1,1,17,40,0,6.5
2022,1,1,17,50,0,6.300000000000001
2022,1,1,18,0,0,6.2
2022,1,1,18,10,0,6
2022,1,1,18,20,0,5.800000000000001
2022,1,1,18,30,0,5.6000000000000005
2022,1,1,18,40,0,5.4
2022,1,1,18,50,0,5.2
2022,1,1,19,0,0,5.1000000000000005
2022,1,1,19,10,0,4.800000000000001
2022,1,1,19,20,0,4.6000000000000005
2022,1,1,19,30,0,4.4
2022,1,1,19,40,0,4.2
2022,1,1,19,50,0,4
2022,1,1,20,0,0,3.8000000000000003
2022,1,1,20,10,0,3.7
2022,1,1,20,20,0,3.5
2022,1,1,20,30,0,3.4000000000000004
2022,1,1,20,40,0,3.2
2022,1,1,20,50,0,3.1
2022,1,1,21,0,0,3
2022,1,1,21,10,0,2.8000000000000003
2022,1,1,21,20,0,2.7
2022,1,1,21,30,0,2.6
2022,1,1,21,40,0,2.5
2022,1,1,21,50,0,2.3000000000000003
2022,1,1,22,0,0,2.2
2022,1,1,22,10,0,2.1
2022,1,1,22,20,0,2
2022,1,1,22,30,0,1.9000000000000001
2022,1,1,22,40,0,1.8
2022,1,1,22,50,0,1.7000000000000002
2022,1,1,23,0,0,1.5
2022,1,1,23,10,0,1.5
2022,1,1,23,20,0,1.4000000000000001
2022,1,1,23,30,0,1.3
2022,1,1,23,40,0,1.3
2022,1,1,23,50,0,1.2000000000000002
2022,1,2,0,0,0,1.1
2022,1,2,0,10,0,1.1
2022,1,2,0,20,0,1.1
2022,1,2,0,30,0,1
2022,1,2,0,40,0,1
2022,1,2,0,50,0,0.9
