Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Maximum Operating Temperature,Thermal Conductivity,Product,Type,Package / Case,Material,Breakdown Voltage,Color,Minimum Operating Temperature,Length,Width,Thickness,Tensile Strength,Flammability Rating,Series,Packaging
951-GP3000S30-04002,GP3000S30-0.040-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3000-en_GL.pdf,865  In Stock,$78.28,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3000S30-0.040-02-0816?qs=jQRjkUoUCJeKfIDRna1fnA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3000S30-0.040-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,3 kVAC,Blue (Light Blue),- 60 C,406.4 mm,203.2 mm,1.016 mm,26 psi,UL 94 V-0,3000S30 / TGP 3000,
951-GP5000S35-08-816,GP5000S35-0.080-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-5000-en_GL.pdf,633  In Stock,$148.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP5000S35-0.080-02-0816?qs=iIoYAtP8Ue5BJVx8ViYDtQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP5000S35-0.080-02-0816&utm_content=Bergquist-Company,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Fiberglass,5 kVAC,Green,- 60 C,406.4 mm,203.2 mm,0.08 in,45 psi,UL 94 V-0,5000S35 / TGP 5000,Bulk
490-SF500-404005,SF500-404005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500-1779055.pdf,1  In Stock,$27.03,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500-404005?qs=PqoDHHvF649CcswiiogyUQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500-404005&utm_content=CUI-Devices,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,40 mm,40 mm,0.5 mm,25 psi,,SF500,
710-40104005,40104005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40104005.pdf,1  In Stock,$60.21,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40104005?qs=e8oIoAS2J1QXxAgbVb9UYg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40104005&utm_content=Wurth-Elektronik,+ 180 C,4 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Purple,- 50 C,400 mm,200 mm,0.51 mm,,,WE-TGF,Bulk
951-GPHC5.0-6002-816,GPHC5.0-0.060-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC5000-en_GL.pdf,"1,260  In Stock",$108.25,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC5.0-0.060-02-0816?qs=N2Tevpb%252Bvoa8m0TtUWH02A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC5.0-0.060-02-0816&utm_content=Bergquist-Company,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Violet,- 60 C,406.4 mm,203.2 mm,1.52 mm,17.5 psi,UL 94 V-0,HC 5.0 / TGP HC5000,
951-TLF10000L150CC,TLF10000L150CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-FORM-TLF-10000-en_GL.pdf,3  In Stock,$384.71,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Bergquist-Company/TLF10000L150CC?qs=4ASt3YYao0XCMAusLP7%2FWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TLF10000L150CC&utm_content=Bergquist-Company,+ 200 C,10 W/m-K,Thermally Conductive Gel Interface,Thermal Gel,,Silicone Elastomer,,Red,- 60 C,,,,,UL 94 V-0,TLF 10000,
739-A12622-13,A12622-13,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,2  In Stock,$452.14,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12622-13?qs=3IuyYncJTQHOkTtLQ6jN3Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12622-13&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Boron Nitride,5 kVAC,Blue-Violet,- 45 C,457 mm,457 mm,2.03 mm,15 psi,UL 94 V-0,Tflex 600,Bulk
739-A17669-008,A17669-008,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_UT20000_Series-2933078.pdf,34  In Stock,$58.52,,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17669-008?qs=lYGu3FyN48eyVNFuvkYj9A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17669-008&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,457.2 mm,457.2 mm,0.21 mm,10 psi,UL 94 V-0,UT20000,Bulk
739-A17751-10,A17751-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,1  In Stock,"$1,129.53",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17751-10?qs=1mbolxNpo8fHxuBsukPv1A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17751-10&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,457.2 mm,457.2 mm,2.54 mm,10 psi,UL 94 V-0,HD90000,Bulk
951-GP3000S30-08002,GP3000S30-0.080-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3000-en_GL.pdf,358  In Stock,$129.55,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3000S30-0.080-02-0816?qs=jQRjkUoUCJf9SsArYcsgjw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3000S30-0.080-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,3 kVAC,Blue (Light Blue),- 60 C,406.4 mm,203.2 mm,2.032 mm,26 psi,UL 94 V-0,3000S30 / TGP 3000,
