Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,Length,Width,Thickness,Thermal Conductivity,Minimum Operating Temperature,Maximum Operating Temperature,,Product,Type,Material,Color,Tensile Strength,Flammability Rating,Packaging,Product Detail
951-2192462,2192462,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 8 Weeks,0.007592593,,,0.508 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,Silicone Elastomer,White,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2192462?qs=B6kkDfuK7%2FClN46MvNbwJQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2192462&utm_content=Bergquist-Company
951-2167683,2167683,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.0090625,,,0.254 mm,2 W/m-K,- 60 C,+ 180 C,,Insulators,,Silicone,Green,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2167683?qs=TuK3vfAjtkXL7pYnFvCrcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2167683&utm_content=Bergquist-Company
951-2167683,2167683,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.0090625,,,0.254 mm,2 W/m-K,- 60 C,+ 180 C,,Insulators,,Silicone,Green,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2167683?qs=TuK3vfAjtkXL7pYnFvCrcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2167683&utm_content=Bergquist-Company
951-2413730,2413730,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC3000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.01078125,406.4 mm,203.2 mm,,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,16 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2413730?qs=B6kkDfuK7%2FCY7WAQnC6VOw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2413730&utm_content=Bergquist-Company
951-2413730,2413730,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC3000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.01078125,406.4 mm,203.2 mm,,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Blue,16 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2413730?qs=B6kkDfuK7%2FCY7WAQnC6VOw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2413730&utm_content=Bergquist-Company
951-SP20000.010AC102,SP2000-0.010-AC-102,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 10 Weeks,0.012569444,304.8 mm,304.8 mm,0.508 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Silicone Elastomer,White,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/SP2000-0.010-AC-102?qs=unwgFEO1A6sPxIRboNlrtA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SP2000-0.010-AC-102&utm_content=Bergquist-Company
951-SP20000.010AC102,SP2000-0.010-AC-102,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 10 Weeks,0.012569444,304.8 mm,304.8 mm,0.508 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Silicone Elastomer,White,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/SP2000-0.010-AC-102?qs=unwgFEO1A6sPxIRboNlrtA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SP2000-0.010-AC-102&utm_content=Bergquist-Company
951-SPA-2015-AC-62,SPA2000-0.015-AC-62,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,819  In Stock,0.015390625,,,0.508 mm,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Silicone Elastomer,White,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/SPA2000-0.015-AC-62?qs=5aG0NVq1C4zfzp2mKjkENw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SPA2000-0.015-AC-62&utm_content=Bergquist-Company
588-TGH-TP1,TGH-TP1,Ohmite,https://www.mouser.com/datasheet/2/303/sink_pad_tim-3082618.pdf,,0.025524142,,,0.20 mm,7 W/m-K,- 40 C,+ 400 C,,Thermal Interface Materials,Thermal Pad,Graphite,,,,Bulk,https://www.mouser.com/ProductDetail/Ohmite/TGH-TP1?qs=GedFDFLaBXE90zrtbaOd7w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGH-TP1&utm_content=Ohmite
739-OTH-Q241350E00B5,OTH-Q241350E-00-B5,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF800_Series-1760830.pdf,56  In Stock,0.033671428,,,,7.8 W/m-K,- 25 C,+ 120 C,,Thermal Gap Fillers,Silicone-Free Gap Filler,Ceramic Filled Silicone Free,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/OTH-Q241350E-00-B5?qs=xZ%2FP%252Ba9zWqbt6zgPYzaXmg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=OTH-Q241350E-00-B5&utm_content=Laird-Performance-Materials
